tic,conm,sic
ABT,ABBOTT LABORATORIES,3845
ACU,ACME UNITED CORP,3842
AME,AMETEK INC,3823
BMI,BADGER METER INC,3824
BAX,BAXTER INTERNATIONAL INC,3841
BDX,BECTON DICKINSON & CO,3841
BIO,BIO-RAD LABORATORIES INC,3826
COHU,COHU INC,3825
COO,COOPER COS INC (THE),3851
DHR,DANAHER CORP,3826
DAIO,DATA I/O CORP,3825
DYNTQ,DYNATRONICS CORP,3845
DYSL,DYNASIL CORP OF AMERICA,3827
RVTY,REVVITY INC,3826
KODK,EASTMAN KODAK CO,3861
ELSE,ELECTRO-SENSORS INC,3823
EMR,EMERSON ELECTRIC CO,3823
FEIM,FREQUENCY ELECTRONICS INC,3825
FUJIY,FUJIFILM HLDGS CORP,3861
LHX,L3HARRIS TECHNOLOGIES INC,3812
KLAC,KLA CORP,3827
KEQU,KEWAUNEE SCIENTIFIC CORP,3821
MDT,MEDTRONIC PLC,3845
MLAB,MESA LABORATORIES INC,3821
MSA,MSA SAFETY INC,3842
MOV,MOVADO GROUP INC,3873
NOC,NORTHROP GRUMMAN CORP,3812
ORBT,ORBIT INTERNATIONAL CORP,3812
PHG,KONINKLIJKE PHILIPS NV,3845
SCND,SCIENTIFIC INDUSTRIES INC,3826
STAA,STAAR SURGICAL CO,3851
SYK,STRYKER CORP,3841
TFX,TELEFLEX INC,3841
TER,TERADYNE INC,3825
TMO,THERMO FISHER SCIENTIFIC INC,3826
UTMD,UTAH MEDICAL PRODUCTS INC,3845
PDEX,PRO-DEX INC/CO,3841
RADA,RADA ELECTRONIC INDUSTRIES,3812
LAKE,LAKELAND INDUSTRIES INC,3842
APYX,APYX MEDICAL CORP,3845
KRMD,KORU MEDICAL SYSTEMS INC,3841
CNMD,CONMED CORP,3845
XRAY,DENTSPLY SIRONA INC,3843
THMO,THERMOGENESIS HOLDINGS INC,3821
COHR,COHERENT CORP,3827
CGNX,COGNEX CORP,3823
GCTK,GLUCOTRACK INC,3845
OKAIF,EVOKAI CREATIVE LABS INC,3845
STME,STIMCELL ENERGETICS INC,3845
EKSO,EKSO BIONICS HOLDINGS INC,3845
LGMK,LOGICMARK INC,3845
ASAPF,AURORA SPINE CORP,3841
TNDM,TANDEM DIABETES CARE INC,3845
INGN,INOGEN INC,3845
PETV,PETVIVO HOLDINGS INC,3842
KEYS,KEYSIGHT TECHNOLOGIES INC,3825
FEED,ENVUE MEDICAL INC,3845
GPRO,GOPRO INC,3861
HOLX,HOLOGIC INC,3844
IRMD,IRADIMED CORP,3841
HSDT,SOLANA CO,3845
LFWD,LIFEWARD LTD,3842
ADMT,ADM TRONICS UNLIMITED INC/DE,3845
FCUV,FOCUS UNIVERSAL INC,3829
OBCN,OBOCON INC,3824
AVNS,AVANOS MEDICAL INC,3842
VANI,VIVANI MEDICAL INC,3845
MMSI,MERIT MEDICAL SYSTEMS INC,3841
STEX,STREAMEX CORP,3845
VIVE,VIVEVE MEDICAL INC,3845
NMRD,NEMAURA MEDICAL INC,3845
MICR,MICRON SOLUTIONS INC,3845
MBAI,CHECK-CAP LTD,3845
WELX,WINLAND HOLDINGS CORP,3829
TIKK,TEL-INSTRUMENT ELECTRONICS,3825
TRMB,TRIMBLE INC,3829
VRAYQ,VIEWRAY INC,3845
ESE,ESCO TECHNOLOGIES INC,3825
BNKL,BIONIK LABORATORIES CORP,3842
BIOLQ,BIOLASE INC,3843
SMTI,SANARA MEDTECH INC,3842
PAVM,PAVMED INC,3841
GKOS,GLAUKOS CORP,3841
HAE,HAEMONETICS CORP,3841
PROF,PROFOUND MEDICAL CORP,3845
BOXL,BOXLIGHT CORP,3861
POCI,PRECISION OPTICS CORP INC,3845
ACFN,ACORN ENERGY INC,3812
ICUI,ICU MEDICAL INC,3841
BSX,BOSTON SCIENTIFIC CORP,3845
STE,STERIS PLC,3841
ESMC,ESCALON MEDICAL CORP,3845
NVCR,NOVOCURE LIMITED,3845
PEN,PENUMBRA INC,3841
SMIT,SCHMITT INDUSTRIES INC/OR,3823
FTV,FORTIVE CORP,3829
SENS,SENSEONICS HLDGS INC,3845
TCMD,TACTILE SYSTEMS TECHNOLOGY,3845
BTCY,BIOTRICITY INC,3845
SRTS,SENSUS HEALTHCARE INC,3845
ZOMDF,ZOMEDICA CORP,3845
PLSE,PULSE BIOSCIENCES INC,3845
KIDS,ORTHOPEDIATRICS CORP,3842
BVS,BIOVENTUS INC,3845
LIVN,LIVANOVA PLC,3845
AORT,ARTIVION INC,3842
AEMD,AETHLON MEDICAL INC,3841
FOSL,FOSSIL GROUP INC,3873
IRTC,IRHYTHM HOLDINGS INC,3845
OFIX,ORTHOFIX MEDICAL INC,3841
VREX,VAREX IMAGING CORP,3844
ITRI,ITRON INC,3824
MBOT,MICROBOT MEDICAL INC,3845
NDRA,ENDRA LIFE SCIENCES INC,3845
UFPT,UFP TECHNOLOGIES INC,3842
IMAX,IMAX CORP,3861
MIND,MIND TECHNOLOGY INC,3829
MOTS,MOTUS GI HOLDINGS INC,3845
AATC,AUTOSCOPE TECHNOLOGIES CORP,3829
MYO,MYOMO INC,3845
RMD,RESMED INC,3845
NMTC,NEUROONE MED TECHNOLOGIES CO,3845
NVNO,ENVVENO MEDICAL CORPORATION,3841
QTRX,QUANTERIX CORP,3845
INSP,INSPIRE MEDICAL SYSTEM,3845
XAIR,BEYOND AIR INC,3845
ECOR,ELECTROCORE INC,3845
STIM,NEURONETICS INC,3845
BNGO,BIONANO GENOMICS INC,3841
SSII,SS INNOVATIONS INTERNATI INC,3841
ESTA,ESTABLISHMNT LBS HLDNG,3842
VTAK,CATHETER PRECISION INC,3845
SIBN,SI-BONE INC,3842
NXGL,NEXGEL INC,3842
ALC,ALCON INC,3851
TMDX,TRANSMEDICS GROUP INC,3845
AVTR,AVANTOR INC,3826
INBS,INTELLIGENT BIO SOLUTION INC,3845
NVST,ENVISTA HOLDINGS CORP,3843
INMD,INMODE LTD,3845
SDCCQ,SMILEDIRECTCLUB INC,3843
TELA,TELA BIO INC,3841
VERO,VENUS CONCEPT INC,3845
VNT,VONTIER CORP,3829
MITQ,MOVING IMAGE TECHNOLOGIS INC,3861
LUNG,PULMONX CORP,3841
LYRA,LYRA THERAPEUTICS INC,3841
SOBR,SOBR SAFE INC,3829
AFIB,ACUTUS MEDICAL INC,3841
OBIO,ORCHESTRA BIOMED HOLDING INC,3845
OM,OUTSET MEDICAL INC,3845
LNSR,LENSAR INC,3845
ARRY,ARRAY TECHNOLOGIES INC,3829
VVOS,VIVOS THERAPEUTICS INC,3841
MASS,908 DEVICES INC,3826
TLSI,TRISALUS LIFE SCIENCES INC,3841
DRTS,ALPHA TAU MEDICAL LTD,3841
ICU,SEASTAR MEDICAL HOLDING CORP,3841
HYPR,HYPERFINE INC,3845
ALUR,ALLURION TECHNOLOGIES INC,3841
MOVE,CORVEX INC,3845
COCH,ENVOY MEDICAL INC,3842
ADGM,ADAGIO MEDICAL HOLDINGS INC,3841
BFLY,BUTTERFLY NETWORK INC,3845
QTI,QT IMAGING HOLDINGS INC,3845
OUST,OUSTER INC,3829
AEVA,AEVA TECHNOLOGIES INC,3829
DRS,LEONARDO DRS INC,3812
NPCE,NEUROPACE INC,3841
IINN,INSPIRA TECH OXY BHN LTD,3841
TMCI,TREACE MEDIC CNCPTS INC,3842
INVZ,INNOVIZ TECHNOLOGIES LTD,3829
SPEC,SPECTAIRE HOLDINGS INC,3826
SKIN,BEAUTY HEALTH CO (THE),3841
TGMPF,TANTALUS SYS HOLD INC,3829
FEMY,FEMASYS INC,3841
TBIO,TELESIS BIO INC,3826
QSI,QUANTUM SI INC,3826
ODYS,ODYSIGHT.AI INC,3845
CVRX,CVRX INC,3841
SGHT,SIGHT SCIENCES INC,3841
RXST,RXSIGHT INC,3851
RPID,RAPID MICRO BIOSYSTEMS INC,3826
OWLT,OWLET INC,3827
EVLV,EVOLV TECHNOLOGIES HOLDINGS,3812
LIDR,AEYE INC,3829
PRCT,PROCEPT BIOROBTCS CORP,3841
SMRT,SMARTRENT INC,3829
MHUAF,MEIHUA INTERNATIO M T CO LTD,3841
HLTHQ,CUE HEALTH INC,3841
